1:3,7,1,6,2,2,4,5,7,2,2,3,6,9,8,5,4,1,1,6,4,9,4,7,3,4,6,2,8,1
2:1,4,1,7,6,4,4,7,4,1,5,4,3,1,5,4,5,1,8,2,9,6,2,4,1,1,1,2,5,6
3:2,3,9,1,6,2,9,4,3,6,6,5,9,5,6,6,4,3,7,7,5,7,5,8,6,2,5,8,4,3
4:4,3,5,2,4,8,5,7,7,6,3,9,5,5,1,9,8,6,6,8,8,6,4,4,1,7,9,7,7,8
5:7,4,5,2,5,2,5,5,8,1,6,3,8,3,7,4,4,7,5,7,5,6,7,5,3,1,1,8,3,7
6:8,5,1,6,5,1,8,2,3,7,7,8,8,4,6,9,7,6,5,5,2,6,4,6,8,5,9,2,9,4
7:2,4,7,5,5,4,3,8,9,5,6,8,5,1,6,9,2,3,4,5,4,8,2,5,9,4,9,2,9,2
8:7,8,3,3,2,5,3,9,2,3,6,7,9,9,4,7,7,5,9,2,5,3,7,2,3,4,6,6,8,2
9:4,7,3,6,6,3,4,8,5,2,9,6,7,9,5,5,4,2,1,7,7,2,7,1,2,3,7,5,4,1
10:2,3,1,6,8,3,9,5,2,6,3,2,4,2,6,4,1,2,9,3,4,2,8,3,7,9,7,8,5,9
11:8,7,9,5,6,2,6,5,7,8,5,2,5,8,8,6,9,7,7,6,7,5,6,6,6,2,3,7,8,1
12:6,1,9,5,6,7,6,8,3,9,1,6,1,3,2,8,2,7,7,3,3,7,5,6,1,5,6,8,6,7
13:4,8,7,6,2,9,8,2,4,7,3,3,9,4,4,6,1,4,9,3,3,1,5,6,7,7,4,2,2,1
14:4,1,6,9,6,3,7,7,9,2,8,7,6,3,5,8,3,8,6,9,4,8,5,1,1,2,6,2,5,2
15:3,2,5,2,5,2,3,8,9,4,2,9,4,7,2,2,8,2,7,7,8,4,3,1,8,2,4,4,3,6
16:5,9,4,6,3,6,2,4,7,8,7,7,2,5,9,8,9,8,2,6,5,2,5,8,3,6,1,5,5,1
17:7,4,2,8,4,1,2,6,2,9,1,4,3,2,9,2,9,6,7,1,9,8,1,7,3,1,3,6,6,1
18:4,2,2,1,1,4,2,6,1,5,9,6,5,2,3,1,5,4,3,5,5,7,8,2,4,6,3,6,7,3
19:8,3,5,8,4,2,8,7,2,4,6,1,4,1,4,3,3,3,3,3,7,9,1,8,5,5,9,4,7,8
20:6,6,1,8,8,6,2,2,4,8,7,6,8,2,9,5,8,8,9,6,1,1,1,4,3,7,9,2,4,2
21:2,7,9,3,6,3,5,3,6,7,2,9,9,7,3,9,7,6,3,5,5,6,2,2,1,6,6,1,1,2
22:4,1,9,5,6,8,1,4,5,2,7,7,3,2,6,2,4,3,5,6,2,4,5,6,8,2,3,9,9,8
23:2,3,7,7,2,6,9,7,6,5,1,2,8,6,3,8,8,4,4,3,2,3,9,7,8,8,2,2,1,8
24:9,9,7,5,5,8,2,5,9,6,5,9,4,6,9,5,9,8,6,1,3,2,7,7,4,6,8,3,5,1
25:4,1,8,4,7,1,9,6,6,4,4,3,4,2,8,6,2,3,2,4,6,7,1,7,4,4,1,9,5,1
26:5,4,9,3,6,7,5,2,7,5,9,3,1,7,5,6,1,8,9,1,1,3,4,1,7,1,5,4,5,8
27:4,6,7,2,9,6,6,7,8,1,5,5,3,9,4,6,2,9,3,4,6,7,2,8,9,9,4,1,9,2
28:6,5,4,2,5,4,1,1,6,1,6,9,1,1,9,5,1,8,7,6,1,3,5,1,4,1,7,4,6,2
29:6,4,2,5,4,8,6,9,1,9,6,8,4,1,9,2,6,3,1,4,7,3,4,1,2,6,4,8,6,1
30:8,1,1,5,8,5,7,5,1,6,3,6,5,7,4,8,4,4,7,9,2,8,8,8,7,1,7,4,9,4
31:5,6,8,3,3,3,4,6,3,5,4,3,6,1,4,7,5,4,8,4,7,2,6,1,9,4,2,5,1,3
32:1,9,1,8,1,3,2,9,8,5,2,9,1,3,9,3,7,1,4,4,3,2,3,8,8,7,8,1,1,2
33:5,1,3,1,9,8,9,7,6,1,6,6,6,6,9,2,2,6,7,8,1,3,9,1,1,7,1,7,7,9
34:1,9,7,5,5,4,5,8,2,2,2,3,7,1,1,9,3,4,8,3,2,2,9,3,8,3,5,3,2,5
35:6,5,7,8,8,3,6,2,7,5,1,6,6,7,6,3,7,9,9,2,3,1,4,6,4,9,2,8,3,7
36:7,4,3,6,7,2,6,8,4,4,8,7,9,3,2,6,6,6,9,3,1,5,1,2,8,2,1,5,3,9
37:5,9,8,1,6,1,3,7,6,9,8,7,2,7,7,3,4,9,2,9,8,2,3,2,1,2,8,9,2,9
38:4,6,5,2,5,4,1,3,5,4,2,2,5,9,1,9,9,4,9,6,8,6,8,2,7,7,8,1,1,4
39:2,4,9,1,3,5,2,4,8,2,6,9,4,9,1,9,2,8,2,7,6,9,2,1,5,6,4,2,3,5
40:9,6,9,3,8,6,5,8,7,8,4,8,3,4,3,7,2,9,5,9,8,5,2,9,6,3,8,3,2,2
41:1,9,4,6,7,9,5,8,7,6,5,3,6,4,4,7,2,9,8,7,4,7,6,7,4,7,2,1,8,8
42:6,5,3,3,8,2,4,6,4,9,2,4,6,8,4,1,4,1,2,1,8,5,9,1,9,7,4,6,4,6
43:5,7,8,6,2,8,5,2,8,2,4,5,4,8,8,2,5,6,5,6,2,7,9,3,3,2,4,1,2,4
44:1,6,4,5,3,4,3,7,5,4,2,5,1,3,2,9,5,7,8,7,7,6,1,2,9,8,3,2,6,9
45:2,2,4,8,9,6,7,7,1,4,1,5,9,4,7,6,3,7,8,1,2,8,6,5,8,7,5,5,1,9
46:5,7,3,3,9,1,1,9,8,6,9,3,3,1,3,5,6,2,4,6,5,2,2,7,7,4,6,2,4,7
47:7,4,3,4,7,3,7,2,7,1,3,4,2,5,5,8,2,5,1,7,8,6,8,9,8,7,2,5,1,8
48:7,4,9,6,6,8,3,9,6,6,5,7,8,7,7,9,4,7,8,5,7,4,7,6,8,7,5,6,1,3
49:6,4,7,1,9,8,5,4,6,6,1,5,1,4,3,2,4,6,5,7,3,2,7,1,1,3,8,3,7,1
50:3,4,2,4,8,5,7,6,3,8,1,8,8,9,4,7,8,2,5,8,3,4,6,8,8,7,9,8,8,4
51:9,6,7,8,2,4,2,3,8,5,8,1,4,8,6,3,1,7,5,1,5,5,1,1,4,3,7,5,3,8
52:2,4,4,5,5,1,6,5,3,9,7,6,1,5,7,3,9,6,2,9,9,2,9,8,1,7,3,4,2,7
53:3,3,1,2,2,7,1,4,4,3,1,5,6,8,3,7,5,7,3,1,2,2,8,6,2,8,8,2,8,2
54:2,3,8,2,7,3,2,5,9,5,1,8,2,5,6,9,6,3,3,7,8,1,8,9,4,2,9,4,1,8
55:5,1,3,3,3,3,6,2,7,3,3,4,7,3,3,3,8,7,2,2,7,1,7,5,3,4,6,5,4,7
56:6,6,2,6,6,7,7,6,4,5,5,3,1,7,6,3,2,6,3,3,8,8,3,8,4,3,6,6,2,2
57:4,4,9,7,3,9,2,1,8,8,8,6,8,2,3,7,3,3,2,9,6,4,6,4,7,6,5,3,1,4
58:7,4,9,6,3,4,1,2,2,4,5,1,5,3,7,4,3,6,1,7,7,8,5,7,6,6,4,4,4,7
59:1,2,3,8,5,9,2,3,5,2,8,9,7,7,3,4,8,6,4,9,2,7,9,5,8,9,4,1,6,4
60:8,6,2,7,9,7,5,9,4,2,8,8,4,1,4,7,1,1,3,7,1,1,5,5,4,9,8,7,5,3
61:3,5,7,8,3,5,3,5,8,2,8,8,8,4,9,7,1,6,1,2,2,7,1,1,6,1,1,2,8,5
62:7,9,1,8,1,3,2,5,3,3,9,8,8,2,1,8,7,3,2,4,8,1,3,1,5,1,3,7,1,2
63:8,5,6,4,1,1,2,7,7,9,5,3,1,5,2,6,9,4,3,7,2,9,3,8,1,9,9,8,5,6
64:7,6,3,2,9,3,8,3,6,5,4,3,6,2,3,3,8,1,4,5,1,9,8,7,8,1,5,4,9,4
65:3,6,6,3,5,2,4,3,1,2,8,2,3,3,6,3,4,8,2,9,6,6,5,1,4,4,4,5,6,6
66:2,3,4,8,9,2,1,6,8,7,7,9,3,5,3,1,8,6,6,6,7,5,3,5,2,3,5,2,4,4
67:5,7,2,7,6,5,1,6,8,8,4,6,4,2,6,3,1,8,7,2,3,4,9,3,8,1,3,6,8,4
68:1,4,4,2,9,4,7,5,4,4,5,4,3,3,7,7,1,2,7,7,9,5,1,6,3,6,7,1,3,8
69:1,2,2,3,5,2,4,6,1,5,4,2,7,4,5,2,3,1,9,1,6,5,7,6,2,9,3,2,6,3
70:9,8,1,3,5,1,3,9,1,3,6,8,3,5,2,7,7,5,9,3,9,2,6,6,5,1,6,1,7,3
71:9,9,9,2,7,7,6,4,3,9,3,6,9,5,2,9,2,6,4,6,1,9,2,6,4,8,9,3,8,9
72:8,3,4,5,8,5,3,1,9,7,7,9,7,2,4,5,4,3,7,5,4,9,7,5,4,4,1,9,6,6
73:1,6,1,8,1,8,7,1,2,5,3,8,9,6,9,3,2,6,1,7,4,2,7,6,9,9,7,2,4,7
74:4,3,2,9,9,2,9,3,3,2,4,8,7,9,7,1,8,1,9,1,8,7,3,4,8,7,7,8,1,1
75:8,6,4,6,1,3,2,7,5,5,1,2,6,6,3,7,6,2,8,6,7,8,2,9,5,8,1,1,8,2
76:3,7,5,4,7,5,8,5,6,7,7,4,2,4,6,5,1,9,6,5,9,7,2,8,9,5,9,2,3,5
77:5,2,4,3,1,1,6,3,6,1,7,2,9,6,5,2,2,2,2,6,9,8,3,6,8,4,4,7,7,6
78:8,1,4,6,9,7,7,9,6,5,3,6,3,5,5,5,4,3,3,5,8,8,7,8,7,1,8,9,1,2
79:5,9,1,2,7,8,7,3,9,9,8,8,8,7,7,7,2,8,5,3,3,1,3,5,4,2,6,5,3,9
80:5,7,8,8,2,6,5,9,8,2,9,1,8,1,4,9,1,1,4,5,5,6,2,9,4,8,3,8,2,8
81:4,8,2,2,6,4,4,1,9,3,2,3,5,7,5,2,7,5,1,2,8,8,8,9,1,7,1,6,7,8
82:3,4,9,7,6,6,5,1,6,3,9,7,6,6,9,5,5,1,5,9,6,2,4,2,7,2,4,2,6,6
83:3,3,8,7,6,7,1,6,4,5,2,7,8,3,4,7,8,3,5,1,2,6,1,8,8,1,6,4,3,2
84:9,2,7,9,7,4,5,8,2,8,6,3,3,7,9,2,3,3,1,5,8,5,5,7,3,3,6,5,4,5
85:2,1,3,8,2,6,8,3,1,5,5,4,2,5,1,6,4,5,5,7,6,7,5,2,5,2,5,8,6,2
86:9,2,2,3,4,1,5,7,9,7,5,1,4,7,9,9,3,4,6,3,2,5,2,1,7,8,7,8,3,4
87:9,1,6,8,6,7,2,3,1,3,6,5,4,4,4,6,7,3,6,2,4,1,9,4,2,8,7,3,3,4
88:5,3,6,8,7,1,7,2,6,5,2,6,7,2,9,5,6,4,6,6,9,4,2,9,5,7,6,4,8,1
89:5,6,6,9,5,3,8,4,7,7,7,8,6,8,2,2,2,9,5,3,7,9,6,3,1,9,5,6,2,5
90:1,7,2,7,8,7,7,2,6,1,8,4,6,2,4,9,6,3,8,7,6,6,8,3,1,9,1,9,1,9
91:1,9,6,2,3,7,6,3,2,1,1,9,1,6,3,4,4,1,8,6,8,6,9,5,9,6,5,2,9,3
92:6,9,1,2,1,8,8,3,9,2,6,2,7,6,6,1,5,6,6,4,7,6,2,2,9,2,3,9,2,7
93:7,7,3,8,6,6,3,2,6,3,5,4,8,8,1,8,6,9,8,5,5,6,8,7,9,3,3,6,3,3
94:6,2,6,7,9,6,3,2,8,3,2,7,6,2,1,9,5,4,1,4,3,6,2,6,6,8,6,6,5,1
95:2,8,4,2,6,9,2,5,2,1,4,2,7,6,4,5,2,1,5,9,7,2,9,7,3,9,5,9,4,6
96:6,6,8,1,2,6,2,1,2,2,1,8,1,4,7,5,9,5,4,7,7,7,6,1,9,6,3,6,6,4
97:7,9,7,7,4,7,1,4,9,5,5,3,2,2,4,8,8,1,8,6,9,2,3,8,6,1,5,7,6,9
98:1,3,3,6,3,7,3,3,2,7,3,8,5,1,6,2,4,6,6,6,2,6,7,4,1,1,6,3,5,1
99:1,6,4,5,7,5,2,1,9,2,8,5,1,3,3,9,4,5,1,5,3,8,2,5,7,9,3,6,2,5
100:3,3,9,6,8,1,5,4,9,8,4,3,2,3,2,8,9,5,9,4,5,3,9,4,6,1,4,8,2,7
