22,1,11
37,1,7
37,27,9
48,1,8
59,1,11
59,21,8
72,1,14
99,21,15
99,46,4
127,51,10
155,77,9
155,109,4
170,58,10
192,35,8
192,95,6
208,53,7
220,60,16
220,90,3
244,90,9
255,77,10
255,132,9
271,93,12
290,110,8
290,140,9
317,137,14
330,121,8
330,173,7
348,99,17
372,80,8
372,159,6
387,94,10
407,108,16
407,133,4
430,137,7
459,102,13
459,191,6
473,114,13
495,135,13
495,160,8
515,162,7
544,125,15
544,222,5
559,111,14
583,85,16
583,167,4
611,115,16
627,96,8
627,164,4
640,109,7
661,129,9
661,159,8
679,102,19
698,85,14
698,143,3
715,70,13
727,79,15
727,114,6
756,114,11
768,123,14
768,147,4
788,99,10
805,111,18
805,133,9
825,137,13
847,107,15
847,172,7
871,134,8
897,162,8
897,184,9
911,140,17
939,167,14
939,187,8
966,201,7
983,177,17
983,247,8
1004,196,13
1016,175,18
1016,233,5
1032,198,5
1057,219,9
1057,253,5
1080,245,6
1092,226,16
1092,285,6
1111,247,15
1138,276,11
1138,306,8
1156,252,11
1185,281,11
1185,299,4
1205,298,12
1223,323,12
1223,339,9
1252,290,7
1262,280,8
1262,325,6
1287,251,15
1306,274,12
1306,307,8
1334,141,111
